标题：为什么说宁德和赛力斯将越来越难和比亚迪竞争
发布者：（见视频页）
链接：https://www.bilibili.com/video/BV14YeH6fEyC
提取方式：匿名 playurl 音频 + Whisper ASR (small)

────────────────────────────────────────

[00:00] 各位观众大家好
[26:33] 别跟我吹你的芯片产能从哪来
[26:36] 我现在越来越看重这个事
[26:39] 比亚迪如果要在未来想在世界上卖1000万台车
[26:45] 比如说明年想在中国卖500或者全球
[26:48] 超过500万辆以上
[26:50] 那你500万个拳拳击A3从哪来
[26:53] 对不对
[26:54] 或者是你你拳击A3只能适配少量的车型
[26:57] 那你就不要谈什么智能化下半场
[27:00] 对不对
[27:01] 所以芯片半导体智能体
[27:05] 它是一众新的赛导
[27:07] 这个上面会出现各种各样的其他的这种
[27:11] 这种竞争和这种市场
[27:13] 那在这个过程中有些企业它的故事已经结束了
[27:16] 有些企业它的故事才刚开始
[27:19] 那作为比亚迪的投资者
[27:20] 我觉得没必要太过担心股价
[27:23] 因为有些人看到的是5天以后的事情
[27:26] 有些人担心的是5个月以后的事情
[27:29] 但有些人看清的是5年以后的事情
[27:32] 所以大家看一个趋势还是要看长远
[27:35] 到时候我会解释为什么说
[27:38] 只有这种战略型的投资者
[27:40] 他才能在这个市场上生存
[27:43] 这个是我这么多年投资的一个感悟
[27:46] 那对于这种塞利斯的投资者
[27:49] 我的建议是最好去读一读六国论
[27:53] 六国论中我认为最好的一句话
[27:56] 其实我们之前上中学的时候是背过这句话的
[28:00] 叫情人无暇自爱而后人哀之
[28:02] 后人哀之而不见之
[28:04] 意识后人而抚爱后人也
[28:07] 你在塞利斯上投资的失败
[28:09] 我认为只是一件很小的事情
[28:11] 但是你要认真反思
[28:13] 到底是谁给你植入了这种错误的印象
[28:17] 这种互联网上到底是哪些人
[28:19] 一直在不断的吹捧华为和塞利斯的这种捆绑关系
[28:23] 在吹捧塞利斯这个公司
[28:26] 导致你现在在这个股票上套了这么多
[28:29] 这么多
[28:30] 而且我是机器不太看好的
[28:33] 这个公司未来还能再新高的
[28:35] 就是你要解套的话
[28:37] 我认为不知道
[28:39] 所以你的持股信心也是没有的
[28:41] 所以我不认为你们在塞利斯上的亏损
[28:45] 还能够走回来
[28:47] 对吧
[28:47] 那这个就是这个视频的主要内容
[28:50] 希望大家都能投资赚钱
[28:52] 好
[28:53] 感谢大家
